scrape_datetime,date,installation,oil_production,gas_production,oil_equivalents_boe,operator,type,estado,city,atendimento_campo,campo,quantity,code,status
2025-08-16T12:19:01.865Z,2025-08-12,,0,0,0,,,,,,,,,
2025-08-16T12:19:01.865Z,2025-08-12,Estação Coletora de Gavião Real,,1600.8529412935543,10069.044830148197,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Santo Antônio dos Lopes,,GAVIÃO REAL,28,,
2025-08-16T12:19:01.865Z,2025-08-12,Estação Coletora de Pilar,,591.31267000000025,3719.2384317660012,Origem Alagoas,Estação / Ponto de Coleta de Petróleo,AL,Pilar,,,33,,
2025-08-16T12:19:01.865Z,2025-08-12,Estação de Produção e Escoamento de Gavião Branco,,3339.2944307547587,21003.494110561278,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Lima Campos,,GAVIÃO BRANCO,13,,
2025-08-16T12:19:01.865Z,2025-08-12,Estação Produtora de Gavião Preto,,2998.6114379516875,18860.666222428525,Eneva,Estação / Pto de Coleta de Gás Nat.,MA,Bernardo do Mearim,,GAVIÃO PRETO,12,,
2025-08-16T12:19:01.865Z,2025-08-12,FPSO ALEXANDRE DE GUSMÃO,44013.620440589417,798.0982,49033.498498949419,Petrobras,FPSO,,,"MERO(27/07/2025), AnC_MERO(27/07/2025)",,50,FPADG,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO Almirante Barroso,150908.31877323132,5836.52355,187618.88459802137,Petrobras,FPSO,,,BÚZIOS(13/01/2023),,50,FPBAR,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO Almirante Tamandaré,67641.16120074346,2852.1113100000002,85580.370918381464,Petrobras,FPSO,,,"BÚZIOS(01/07/2024), TAMBUATÁ(31/12/2024), BÚZIOS_ECO(31/12/2024)",,57,FPTAM,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO ANITA GARIBALDI,35743.050831411,772.79808999999989,40603.796257893,Petrobras,FPSO,,,MARLIM(23/06/2023),,71,FPAGA,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO ANNA NERY,40506.073221580555,694.90669999999977,44876.897383240554,Petrobras,FPSO,,,MARLIM(29/10/2022),,67,FPANE,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO ATLANTA,41777.9963436,332.3859,43868.637177419994,Enauta Energia,FPSO,,,ATLANTA(29/10/2024),,15,FPSOATLANTA,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO Carioca (MV-30),158360.503294719,6037.0208,196332.156722559,Petrobras,FPSO,,,SÉPIA(02/01/2021),,61,FPCRC,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO CIDADE DE ANCHIETA,18592.155780316796,857.837,23987.778942916793,Petrobras,FPSO,,,"JUBARTE(31/08/2012), BALEIA AZUL(31/08/2012), PIRAMBU(31/08/2012)",,47,FCDA,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO CIDADE DE ANGRA DOS REIS,0,0,0,Petrobras,FPSO,,,TUPI(26/04/2009),,49,FPCAR,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO Cidade de Campos dos Goytacazes,70065.514392904777,655.84351,74190.638902102772,Petrobras,FPSO,,,TARTARUGA VERDE(31/12/2017),,48,FPCGZ,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO CIDADE DE CARAGUATATUBA,41523.743179538396,1606.4858499999998,51628.2178788684,TotalEnergies EP,FPSO,,,LAPA(30/08/2016),,31,FPCCG,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO CIDADE DE ILHA BELA,65800.456639896031,3092.1739999999991,85249.612665096,Petrobras,FPSO,,,SAPINHOÁ(10/11/2014),,54,FPCIB,ATIVO
2025-08-16T12:19:01.865Z,2025-08-12,FPSO CIDADE DE ITAGUAÍ,105856.14970613758,6628.89209,147550.55517381959,Petrobras,FPSO,,,TUPI(31/07/2015),,51,FPCIG,ATIVO
